ID,SMILES,Scaffold
EN300-129322,C[Si](C)(C)C#CC(=O)CCl,0
EN300-131441,CC(C)C(Br)C(=O)C#C[Si](C)(C)C,0
EN300-131656,CC(Cl)C(=O)C#C[Si](C)(C)C,0
EN300-246860,C[Si](C)(C)C#CC(=O)CBr,0
EN300-317682,CC(Br)C(=O)C#C[Si](C)(C)C,0
EN300-1967362,C#Cc1ccc(C(=O)CCl)cc1,0
EN300-5027537,C#CCn1c(C)cc(C(=O)CCl)c1C,0
EN300-7949410,C#Cc1ccc(C(=O)CBr)cc1,0
EN300-7169493,C#CCCCCC(=O)CBr,0
EN300-260632,C#CCNN,0
EN300-20868752,C#CCCNN,0
EN300-26276340,C#Cc1cccc(NN)c1,0
EN300-28254446,C#CCCCNN,0
EN300-101466,C#CCC(C(C)=O)C(C)=O,0
EN300-116015,C[Si](C)(C)C#CC(=O)Cc1ccccc1,0
EN300-115937,C#CC(=O)Cc1ccccc1,0
EN300-140937,C#CC(=O)C1CCC1,0
EN300-135883,C[Si](C)(C)C#CC(=O)C1CCCO1,0
EN300-170780,C[Si](C)(C)C#CC(=O)C(F)F,0
EN300-196377,C#CC(=O)c1ccc(Br)cc1F,0
EN300-212464,C#CC(=O)C(C)(C)C,0
EN300-217939,CC#CC(=O)C(C)O,0
EN300-82938,C#CC(=O)CC,0
EN300-269981,C#CC(=O)c1ccc(F)cc1,0
EN300-343990,C#CC(=O)c1ccc(C(F)(F)F)cc1,0
EN300-306906,C#CC(=O)c1ccc(C)cc1,0
EN300-343350,C#CC(=O)c1cccc(C(F)(F)F)c1,0
EN300-203967,C#CC(=O)CCC,0
EN300-332860,C#CC(=O)c1ccc(OC)cc1,0
EN300-371823,C#CC(=O)c1ccc(Cl)cc1,0
EN300-331634,C#CC(=O)CNC,0
EN300-218299,C[Si](C)(C)C#CC(=O)c1cccnc1,0
EN300-333538,C#CCCC(=O)CC(=O)OC,0
EN300-112432,C#CC(C)=O,0
EN300-200341,C#CCCC(=O)CC(=O)OCC,0
EN300-6486476,C#CC(=O)CCC(N)CC,0
EN300-6731473,CCOC(=O)C#CC(C)=O,0
EN300-234884,O=C(C#Cc1ccccc1)c1ccccc1,0
EN300-396453,C#CCC(C(C)=O)C(=O)OC,0
EN300-2009579,CCC#CC(C)=O,0
EN300-158078,C#CC(=O)c1ccccc1,0
EN300-305388,CC#CC(C)=O,0
EN300-708726,COCC(=O)C#C[Si](C)(C)C,0
EN300-7743541,C#CCC1CCC(=O)CC1=O,0
EN300-7643151,C#CCCC(=O)CC(C)=O,0
EN300-20983758,C#CCCCC1CCC(=O)CC1=O,0
EN300-213392,C[Si](C)(C)C#CC(=O)C(F)(F)F,0
EN300-7742631,C#CCCCC(=O)CC(C)=O,0
EN300-28253202,C#CCCC(=O)CC(=O)C(F)(F)F,0
EN300-7290683,CC#CC(=O)c1cncs1,0
EN300-180283,C#CC(=O)CCc1ccccc1,0
EN300-118945,CC(=O)C#C[Si](C)(C)C,0
EN300-373811,C#CC(=O)c1ccc(C(C)(C)C)cc1,0
EN300-1657621,CCOC(OCC)C(=O)C#C[Si](C)(C)C,0
EN300-2996345,C#CC(=O)C1CC1,0
EN300-2962872,C#CC(=O)c1ccccc1Br,0
EN300-7668028,CCC(=O)C#CC(=O)OC,0
EN300-7250826,CC(=O)C#CBr,0
EN300-99916,C#Cc1cccc(NC(N)=O)c1,0
EN300-195757,C#Cc1cncc(C(N)=O)c1,0
EN300-40362,C#CCNC(N)=O,0
EN300-254689,C#CC(C)(C)NC(N)=O,0
EN300-304289,CC#CCn1c(N2CCCC(NC(N)=O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0
EN300-1716745,C#CCCNC(N)=O,0
EN300-4261218,C#Cc1ccc(C(N)=O)cc1,0
EN300-27755038,C#CCN(CC(N)=O)[C@H](C)c1ccccc1,0
EN300-1859163,C#Cc1ccc(C(=N)N)cc1,0
EN300-7499159,C#CCOCC(N)=O,0
EN300-7535812,C#Cc1cn(C)nc1C(N)=O,0
EN300-7537017,C#Cc1cnn(C)c1C(N)=O,0
EN300-702611,C#CCN1CCC(C(N)=O)CC1,0
EN300-7541537,C#CCCOCC(N)=O,0
EN300-4264822,C#CC(C)(C)C(N)=O,0
EN300-6479522,C#Cc1ccccc1CC(N)=O,0
EN300-7692551,C#Cc1cccc(C(N)=O)c1,0
EN300-66786,C#Cc1cccc(NC(N)=S)c1,0
EN300-37390398,C#CCCC(N)=S,0
EN300-37385683,C#Cc1ccc(NC(N)=S)cc1,0
EN300-2983451,C#CCCC(N)=O,0
EN300-364726,C#CC(OCC)(OCC)OCC,0
EN300-378449,CC#CC(=O)NN,0
EN300-705939,C#CCCCC(=O)NN,0
EN300-365267,C#Cc1ccc(C23OCC(CCC)(CO2)CO3)cc1,0
EN300-7491099,C#CCN(C)CCCCCc1ccc(O)c(C(N)=NO)n1,0
EN300-1667063,C#CCCC(=O)NN,0
EN300-23246496,C#CCCC(N)=NO,0
EN300-7491096,C#CCN(C)CCCCCCc1ccnc(C(N)=NO)c1O,0
EN300-27699,COC(=O)c1cccc(C#Cc2cccc(N)c2)c1,1
EN300-50409,C#CCNC(=O)c1cccnc1Cl,0
EN300-19219,COC(=O)C#CC(=O)OC,0
EN300-19683,CC#CP(=O)(OCC)OCC,0
EN300-61875,CC#CCBr,0
EN300-50469,C#CCNC1CCCc2ccccc21,1
EN300-84568,C#CC(C)O,0
EN300-24000,O=C(O)c1ccc(C#Cc2ccccc2)cc1,0
EN300-27346,C#CCN1CCNCC1,1
EN300-26960,COc1ccc(C#CCN)cc1,0
EN300-23138,C#CCNC(=O)CCl,0
EN300-27576,Nc1cccc(C#Cc2cccc(C(=O)O)c2)c1,1
EN300-27425,Nc1cccc(C#Cc2ccccn2)c1,0
EN300-26967,C#Cc1cccc(N)c1,1
EN300-27810,NS(=O)(=O)C#Cc1ccccc1,0
EN300-92988,C[Si](C)(C)C#CCBr,0
EN300-31097,C#CCNc1cccc(C(=O)O)c1,0
EN300-40899,O=C(O)c1coc(C#Cc2ccccc2)c1,0
EN300-49078,C#Cc1cccc(NC(=O)CN)c1,1
EN300-53018,C#CCN(C)C(C)Cc1ccccc1,0
EN300-44922,C#CCNC(=O)c1ccccc1N,1
EN300-41698,C#CCNC1CCc2ccccc21,1
EN300-54418,C#CCNC(=O)C(C)SCC(N)C(=O)O,1
EN300-53294,C#CCNC(=O)Nc1ccccc1,0
EN300-60694,C#CCNC(C)c1ccc2c(c1)NC(=O)CO2,1
EN300-54076,C#CCNS(=O)(=O)c1ccccc1,0
EN300-51567,C#CCN1C(=O)c2ccc(C(=O)O)cc2S1(=O)=O,0
EN300-53295,C#CCNC(=O)Nc1cccc([N+](=O)[O-])c1,0
EN300-54075,C#CCN,0
EN300-52828,C#CCNC(=O)Nc1ccccc1F,0
EN300-53297,C#CCNC(=O)Nc1ccc(C(C)=O)cc1,0
EN300-59073,C#Cc1cccc(NCC(=O)N2CCOCC2)c1,1
EN300-52435,C#CCCN1CCNCC1,1
EN300-60507,C#CCn1cccc1,0
EN300-69369,C#Cc1ccc(C(=O)O)nc1,1
EN300-68502,C#Cc1cccc(N)c1,1
EN300-71694,C#CCC1(C#N)CCCCC1,0
EN300-66223,C#CCn1c(C)ccc1C,0
EN300-68344,C#CCNC(=O)C(C)N1CCNCC1,1
EN300-71281,C#CCNCc1cccnc1,1
EN300-67677,C#CCn1cccn1,0
EN300-66854,C#CCC(O)c1ccccn1,0
EN300-68632,C#Cc1cccc(NCc2ccncc2)c1,1
EN300-89566,C#CC[C@H](N)C(=O)O,1
EN300-71836,C#CCN1CCCC1=O,0
EN300-66874,C#CCC(NC)c1ccccc1,1
EN300-68505,C#CCC1(O)CCOCC1,0
EN300-68754,C#Cc1cccc(NC)c1,1
EN300-68463,C#Cc1cccc(NC(C)C)c1,1
EN300-68347,C#Cc1cccc(NCc2cccs2)c1,1
EN300-60131,C#CCC(O)c1ccccc1,0
EN300-61422,C#CCn1cnc(-c2ccccc2)c1N,1
EN300-62241,C#CCNC(=O)CN1C(=O)C(=O)c2cc(Cl)ccc21,0
EN300-60761,C#CCNC(=O)CN,1
EN300-70760,C#CCn1c(C)nc2ccccc21,0
EN300-71353,C#CCOc1cccc(Cl)c1,0
EN300-71410,C#CCOc1ccccc1C,0
EN300-72812,C#CCn1cc(Cl)cn1,0
EN300-71297,C#CCOc1ccc(C)cc1,0
EN300-71505,C#CCOc1ccccc1Cl,0
EN300-70215,C#CCN1CCOCC1,0
EN300-73082,C#CCn1cnc2ccccc21,0
EN300-71390,C#CCOc1cccc(S(C)(=O)=O)c1,0
