ID,SMILES,Scaffold
EN300-07843,CCOc1cc(C=O)ccc1OC(C)C(=O)N(C)C,0
EN300-05707,O=Cc1cc(Br)c2c(c1)OCO2,0
EN300-07658,O=Cc1ccc(N2CCCCC2)cc1,0
EN300-07659,COc1cc(C=O)cc(Br)c1OCC(=O)N(C)C,0
EN300-10027,Cc1cccc(-c2nn(-c3ccccc3)cc2C=O)c1,0
EN300-11210,Cc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1C,0
EN300-13716,COc1ccc(C)cc1C=O,0
EN300-09815,CCOc1cc(C=O)ccc1OC(F)F,0
EN300-10032,Cc1cc(C=O)c(C)n1CC1COc2ccccc2O1,0
EN300-10692,CCCCn1nc(C)c(C=O)c1Cl,0
EN300-11135,COc1cc(C=O)ccc1OCC(=O)N1CCCC1,0
EN300-08899,C#CCOc1ccc(C=O)cc1OCC,0
EN300-25338,O=Cc1ccc(OCCO)cc1Br,0
EN300-25340,CS(=O)(=O)C(C=O)c1nc2ccccc2[nH]1,0
EN300-24078,COc1nc(N(C)C)sc1C=O,0
EN300-25759,Cc1nn(C)c(Cl)c1C=O,0
EN300-11467,O=Cc1cnn(-c2ccccc2)n1,0
EN300-09577,N#CCCn1cc(C=O)c(-c2ccc(Cl)cc2)n1,0
EN300-10051,O=Cc1csc(-c2cccc(Br)c2)n1,0
EN300-10420,O=Cc1ccc(-c2nc3ccccc3s2)o1,0
EN300-11628,CCCOc1c(Cl)cc(C=O)cc1OC,0
EN300-09575,COc1ccc(C=O)cc1OC(F)F,0
EN300-10212,CCOc1cc2c(cc1C=O)OC(C)C2,0
EN300-07587,CCOc1cc(C=O)cc(Cl)c1O,0
EN300-01127,O=Cc1c(Sc2nnnn2-c2ccccc2)nc2ccccn2c1=O,0
EN300-06669,CCn1c(N=CN(C)C)c(C=O)c(=O)[nH]c1=O,0
EN300-00961,O=Cc1c(Cl)nc2ccccn12,0
EN300-09555,COc1cc(C=O)cc(Cl)c1OC(F)F,0
EN300-00978,Cc1nc2scc(C)n2c1C=O,0
EN300-09562,COc1ccccc1-c1nn(-c2ccccc2)cc1C=O,0
EN300-07553,O=Cc1cc2ccccc2nc1O,0
EN300-18990,O=Cc1cccs1,0
EN300-55086,O=Cc1cccc(F)c1O,0
EN300-00993,CN1C(=CC=O)C(C)(C)c2ccccc21,0
EN300-15457,COC(=O)c1ccc(C=O)cc1,0
EN300-01044,O=Cc1cn(-c2ccccc2)nc1-c1cc2ccccc2oc1=O,0
EN300-01026,O=Cc1ccc(N2CCOCC2)cc1,0
EN300-01027,O=Cc1ccc(OC(=O)c2cccc([N+](=O)[O-])c2)cc1,0
EN300-21347,O=Cc1cccc(C(F)(F)F)c1,0
EN300-18119,O=Cc1cc(Br)c(O)c(Br)c1,0
EN300-20402,N#Cc1ccc(C=O)cc1,0
EN300-01035,CC(C)CCOc1ccc(C=O)cc1,0
EN300-20017,O=Cc1cccc(O)c1,0
