ID,SMILES,Scaffold
EN300-08174,O=C(CBr)c1ccc(-c2ccc(Br)cc2)cc1,0
EN300-08261,Cc1cc(C(=O)CCl)c(C)n1CCc1ccccc1,0
EN300-08263,Cc1cc(C(=O)CCl)c(C)n1CCc1ccc(Cl)cc1,0
EN300-08472,CCOC(=O)c1c(C)[nH]c(C(=O)C(C)Cl)c1C,0
EN300-13775,O=C(CCl)c1cc2c3c(c1)CC(=O)N3CCC2,0
EN300-12761,COc1ccc(C(=O)CCl)cc1F,0
EN300-10688,Cc1cc(C(=O)CCl)c(C)n1-c1ccc(S(N)(=O)=O)cc1,0
EN300-10160,COC(=O)CCn1c(C)cc(C(=O)CCl)c1C,0
EN300-11465,CCCC(=O)Nc1ccc(C(=O)CCl)cc1,0
EN300-09565,CSc1cccc(-n2c(C)cc(C(=O)CCl)c2C)c1,0
EN300-09126,COCCCn1c(C)cc(C(=O)CCl)c1C,0
EN300-11196,COc1ccc(C(=O)CCl)cc1Br,0
EN300-01910,O=C(CBr)c1ccc(Cl)s1,0
EN300-02021,Cc1ccc(C(=O)CCl)cc1C,0
EN300-04248,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)CCl,0
EN300-01864,Cc1ccc(C(=O)C(Cl)c2ccc(C)cc2)cc1,0
EN300-01950,O=C(CCl)c1ccc(F)c(F)c1,0
EN300-01888,O=C(CBr)c1cccc2ccccc12,0
EN300-01884,O=C(CBr)c1cccc(C(F)(F)F)c1,0
EN300-02022,O=C(CCl)c1ccc(Cl)c(Cl)c1,0
EN300-01914,CC(N)=C(C#N)C(=O)CCl,0
EN300-02053,Cc1ccc(C(=O)CBr)cc1C,0
EN300-01892,O=C(CCl)c1ccc2c(c1)-c1ccccc1C2,0
EN300-01953,CC(C)(C)c1ccc(C(=O)CBr)cc1,0
EN300-02070,Cc1cc(C)c(C(=O)CCl)cc1C,0
EN300-20881,CC(Br)C(=O)c1ccccc1,0
EN300-21951,O=C1c2ccccc2CCC1Br,0
EN300-07111,CC(Br)C(=O)c1cccc(Cl)c1,0
EN300-21952,CC(Br)C(=O)c1ccc(F)cc1,0
EN300-02045,CCCCCCc1ccc(C(=O)CCl)cc1,0
EN300-04454,Cn1c(-c2ccccc2)c(C(=O)CCl)c2ccccc21,0
EN300-05328,CCC(=O)Nc1ccc(C(=O)CCl)cc1,0
EN300-05000,COc1ccc(C(=O)CBr)cc1OC,0
EN300-06476,NCc1ccc(C(=O)CCl)o1,0
