ID,SMILES,MW
EN300-18341,Clc1ccccn1,113.54
EN300-63951,Clc1cccnn1,114.53
EN300-21095,Clc1cnccn1,114.53
EN300-20306,Clc1ncccn1,114.53
EN300-39915386,Clc1nncnn1,116.51
EN300-16533,N#Cc1ccc(F)cc1,121.11
EN300-15277,N#Cc1ccccc1F,121.11
EN300-114327,N#Cc1ccncc1F,122.1
EN300-123835,N#Cc1ccc(F)nc1,122.1
EN300-3260291,N#Cc1cnccc1F,122.1
EN300-96551,N#Cc1ccc(F)cn1,122.1
EN300-99949,N#Cc1cccnc1F,122.1
EN300-102907,N#Cc1ncccc1F,122.1
EN300-4410167,N#Cc1cnc(F)cn1,123.09
EN300-4857887,N#Cc1ccnnc1F,123.09
EN300-3263883,N#Cc1cncnc1F,123.09
EN300-3263840,N#Cc1nccnc1F,123.09
EN300-19137,O=Cc1ccc(F)cc1,124.11
EN300-20044,O=Cc1ccccc1F,124.11
EN300-111984,O=Cc1cccnc1F,125.1
EN300-171195,O=Cc1ccncc1F,125.1
EN300-112291,O=Cc1ccc(F)nc1,125.1
EN300-94655,O=Cc1ncccc1F,125.1
EN300-136115,O=Cc1ccc(F)cn1,125.1
EN300-50196,Cc1cccc(Cl)n1,127.57
EN300-82540,Cc1cc(Cl)ccn1,127.57
EN300-27031,Cc1ccc(Cl)nc1,127.57
EN300-56134,Cc1ccnc(Cl)c1,127.57
EN300-56057,Cc1cccnc1Cl,127.57
EN300-100267,Cc1nccnc1Cl,128.56
EN300-86280,Nc1cccc(Cl)n1,128.56
EN300-73646,Cc1cncc(Cl)n1,128.56
EN300-53702,Cc1ccc(Cl)nn1,128.56
EN300-97161,Cc1cncnc1Cl,128.56
EN300-69091,Cc1cnc(Cl)nc1,128.56
EN300-65257,Cc1nccc(Cl)n1,128.56
EN300-64890,Nc1cc(Cl)ccn1,128.56
EN300-181576,Cc1cnnc(Cl)c1,128.56
EN300-25778,Nc1ccnc(Cl)c1,128.56
EN300-90420,Cc1cnc(Cl)cn1,128.56
EN300-95922,Cc1ccnnc1Cl,128.56
EN300-53137,Cc1cc(Cl)ncn1,128.56
EN300-66622,Cc1ccnc(Cl)n1,128.56
EN300-77714,Nc1cnccc1Cl,128.56
EN300-19839,Nc1cccnc1Cl,128.56
EN300-34596,Nc1ccc(Cl)nc1,128.56
EN300-88129,Oc1cnccc1Cl,129.54
EN300-80718,Oc1cccnc1Cl,129.54
