ID,SMILES,MW
EN300-85521,O=Cc1cc[nH]c1,95.1
EN300-20526,O=Cc1ccc[nH]1,95.1
EN300-18110,O=Cc1ccco1,96.08
EN300-66749,O=Cc1ccoc1,96.08
EN300-50613,O=Cc1cnc[nH]1,96.09
EN300-62758,O=Cc1cn[nH]c1,96.09
EN300-36665,O=Cc1cc[nH]n1,96.09
EN300-52542,O=Cc1ncc[nH]1,96.09
EN300-102674,O=Cc1ccon1,97.07
EN300-103208,O=Cc1ncco1,97.07
EN300-83934,O=Cc1ccno1,97.07
EN300-100908,O=Cc1cocn1,97.07
EN300-73499,O=Cc1cnco1,97.07
EN300-108918,O=Cc1cnoc1,97.07
EN300-183420,O=Cc1c[nH]nn1,97.08
EN300-101831,O=Cc1nnc[nH]1,97.08
EN300-254885,O=Cc1cnon1,98.06
EN300-18999,O=Cc1ccccn1,107.11
EN300-18992,O=Cc1cccnc1,107.11
EN300-18111,O=Cc1ccncc1,107.11
EN300-117823,O=Cc1cccnn1,108.1
EN300-65142,O=Cc1cnccn1,108.1
EN300-65143,O=Cc1cncnc1,108.1
EN300-209195,O=Cc1ccnnc1,108.1
EN300-56173,O=Cc1ncccn1,108.1
EN300-96446,Cn1ccc(C=O)c1,109.13
EN300-20969,Cn1cccc1C=O,109.13
EN300-105063,Cc1c[nH]cc1C=O,109.13
EN300-120127,Cc1ccc(C=O)[nH]1,109.13
EN300-31214,Cc1n[nH]cc1C=O,110.11
EN300-306019,Cc1c[nH]c(C=O)n1,110.11
EN300-65152,Cc1nc[nH]c1C=O,110.11
EN300-17263,Cc1ccc(C=O)o1,110.11
EN300-92042,Cc1ccoc1C=O,110.11
EN300-92084,Cc1coc(C=O)c1,110.11
EN300-61999,Cn1ccnc1C=O,110.11
EN300-66940,Cn1ccc(C=O)n1,110.11
EN300-65153,Cc1nc(C=O)c[nH]1,110.11
EN300-31477,Cn1nccc1C=O,110.11
EN300-207898,Cc1cocc1C=O,110.11
EN300-252932,Cc1occc1C=O,110.11
EN300-14236,Cn1cc(C=O)cn1,110.11
EN300-100819,Cn1cnc(C=O)c1,110.11
EN300-66934,Cc1cc(C=O)[nH]n1,110.11
EN300-66979,Cn1cncc1C=O,110.11
EN300-65210,Cn1cc(C=O)nn1,111.1
EN300-129683,Cc1ncc(C=O)o1,111.1
EN300-194448,Cc1coc(C=O)n1,111.1
EN300-125919,Cc1[nH]nnc1C=O,111.1
