ID,SMILES,MW
EN300-252900,O=S(=O)(F)c1ccc[nH]1,149.14
EN300-219830,O=S(=O)(F)c1ncc[nH]1,150.13
EN300-256911,O=S(=O)(F)c1ccn[nH]1,150.13
EN300-224287,O=S(=O)(F)c1cn[nH]c1,150.13
EN300-170688,O=S(=O)(F)c1nnc[nH]1,151.12
EN300-244367,O=S(=O)(F)c1ccccn1,161.15
EN300-295109,O=S(=O)(F)c1ccncc1,161.15
EN300-138027,O=S(=O)(F)c1cccnc1,161.15
EN300-734595,O=S(=O)(F)c1cnccn1,162.14
EN300-378919,O=S(=O)(F)c1cncnc1,162.14
EN300-120284,O=S(=O)(F)c1cccnn1,162.14
EN300-246662,O=S(=O)(F)c1ncccn1,162.14
EN300-139295,Cn1cccc1S(=O)(=O)F,163.17
EN300-728664,Cc1ccc(S(=O)(=O)F)o1,164.15
EN300-312538,Cc1[nH]ncc1S(=O)(=O)F,164.16
EN300-74384,Cn1ccnc1S(=O)(=O)F,164.16
EN300-7019440,Cc1nnc(S(=O)(=O)F)[nH]1,165.15
EN300-244447,Cn1cnnc1S(=O)(=O)F,165.15
EN300-1266407,Cn1ncnc1S(=O)(=O)F,165.15
EN300-746798,Cn1nnc(S(=O)(=O)F)n1,166.13
EN300-705575,Cn1nnnc1S(=O)(=O)F,166.13
EN300-139041,O=S(=O)(Cl)c1ccco1,166.58
EN300-82810,O=S(=O)(Cl)c1ccoc1,166.58
EN300-75269,O=S(=O)(Cl)c1c[nH]cn1,166.59
EN300-49990,O=S(=O)(Cl)c1cn[nH]c1,166.59
EN300-218284,O=S(=O)(Cl)c1ncc[nH]1,166.59
EN300-224692,O=S(=O)(F)c1nccs1,167.18
EN300-70482,O=S(=O)(Cl)c1cnoc1,167.57
EN300-1988367,O=S(=O)(Cl)c1nc[nH]n1,167.57
EN300-6489868,F.O=S(=O)(F)c1cn[nH]n1,171.13
EN300-1583729,Cc1ccnc(S(=O)(=O)F)c1,175.18
EN300-1270599,Cc1cc(S(=O)(=O)F)ccn1,175.18
EN300-1583756,Cc1cncc(S(=O)(=O)F)c1,175.18
EN300-1992935,Cc1cnccc1S(=O)(=O)F,175.18
EN300-727981,Cc1ccncc1S(=O)(=O)F,175.18
EN300-372407,Cc1cccc(S(=O)(=O)F)n1,175.18
EN300-729349,Cc1ncccc1S(=O)(=O)F,175.18
EN300-131976,Cc1ccc(S(=O)(=O)F)nc1,175.18
EN300-1583723,Cc1cccnc1S(=O)(=O)F,175.18
EN300-26683073,C=Cn1ccnc1S(=O)(=O)F,176.17
EN300-26678554,Cc1cncc(S(=O)(=O)F)n1,176.17
EN300-216870,Nc1cncc(S(=O)(=O)F)c1,176.17
EN300-366976,Cc1nccnc1S(=O)(=O)F,176.17
EN300-366997,Cc1cnc(S(=O)(=O)F)nc1,176.17
EN300-170214,Cc1ccc(S(=O)(=O)F)nn1,176.17
EN300-266842,Nc1ccc(S(=O)(=O)F)nc1,176.17
EN300-1991161,Cc1cnc(S(=O)(=O)F)cn1,176.17
EN300-370246,Nc1ccnc(S(=O)(=O)F)c1,176.17
EN300-267118,Nc1cccnc1S(=O)(=O)F,176.17
EN300-6740820,O=S(=O)(F)c1ccnc(O)c1,177.15
EN300-7355309,O=S(=O)(F)c1ccc(O)cn1,177.15
EN300-6482545,O=S(=O)(F)c1ccc(O)nc1,177.15
EN300-729156,O=S(=O)(F)c1cccnc1O,177.15
EN300-27114869,O=S(=O)(F)c1cccc(O)n1,177.15
EN300-26690681,C=Cn1ncnc1S(=O)(=O)F,177.16
EN300-30525,O=S(=O)(Cl)c1cccnc1,177.61
