ID,SMILES,MW
EN300-21409,C#CCN,55.08
EN300-21353,NC1CC1,57.09
EN300-19995,C=CCN,57.09
EN300-18989,CC(C)N,59.11
EN300-20505,CCCN,59.11
EN300-19392,NCCO,61.08
EN300-76549,C#CCCN,69.11
EN300-117085,C[C@H](N)C#N,70.09
EN300-21136,N#CCCN,70.09
EN300-27211,NCC1CC1,71.12
EN300-96985,C=C(C)CN,71.12
EN300-2995119,C=C[C@H](C)N,71.12
EN300-51904,CC1CC1N,71.12
EN300-84385,C=CC(C)N,71.12
EN300-62688,NC1CCC1,71.12
EN300-49064,NC1COC1,73.09
EN300-19577,CCCCN,73.14
EN300-19017,CCC(C)N,73.14
EN300-16766,CC(C)(C)N,73.14
EN300-20218,CC(C)CN,73.14
EN300-211781,CC[C@H](C)N,73.14
EN300-120198,CC[C@@H](C)N,73.14
EN300-84476,C[C@H](O)CN,75.11
EN300-19016,COCCN,75.11
EN300-29387,CC(N)CO,75.11
EN300-20160,CC(O)CN,75.11
EN300-33361,C[C@@H](N)CO,75.11
EN300-16772,NCCCO,75.11
EN300-117430,C[C@@H](O)CN,75.11
EN300-86282,C[C@H](N)CO,75.11
EN300-84693,NCCCF,77.1
EN300-115962,NCC(F)F,81.06
EN300-32013,Nc1cn[nH]c1,83.09
EN300-177717,Nc1cnc[nH]1,83.09
EN300-27598,Nc1cc[nH]n1,83.09
EN300-703002,CCC#CCN,83.13
EN300-72142,C#CC(C)(C)N,83.13
EN300-99839,Nc1ccno1,84.08
EN300-82315,Nc1c[nH]nn1,84.08
EN300-20080,Nc1ccon1,84.08
EN300-44060,Nc1cnoc1,84.08
EN300-17045,Nc1nnc[nH]1,84.08
EN300-91725,Nc1ncco1,84.08
EN300-29407,CC(C)(N)C#N,84.12
EN300-64674,CC(C#N)CN,84.12
EN300-101637,Nc1nnco1,85.06
EN300-117222,Nc1ncon1,85.06
EN300-33999,Nc1nnn[nH]1,85.07
EN300-20348,NC1CCCC1,85.15
EN300-87404,CC(C)=CCN,85.15
EN300-151492,C=CCCCN,85.15
EN300-196962,N[C@@H]1C[C@H]1CO,87.12
EN300-134628,NCC1(O)CC1,87.12
EN300-157158,NCC=CCO,87.12
EN300-7444609,NC[C@@H]1CCO1,87.12
EN300-188212,NCC1COC1,87.12
EN300-256939,N[C@@H]1CCOC1,87.12
EN300-6960705,NC[C@H]1CCO1,87.12
EN300-270419,C=C(CN)CO,87.12
EN300-135353,NC1CC1CO,87.12
EN300-19704,CC(C)CCN,87.16
EN300-52478,CC(C)(C)CN,87.16
EN300-19020,CCCCCN,87.16
EN300-18741,CCC(N)CC,87.16
EN300-20287,CCCC(C)N,87.16
EN300-20706,CCC(C)(C)N,87.16
EN300-2977538,CC[C@H](C)CN,87.16
EN300-20873,CC(C)C(C)N,87.16
EN300-2977543,CC[C@@H](C)CN,87.16
EN300-55356,C[C@@H](N)C(N)=O,88.11
EN300-23648,C[C@H](N)C(N)=O,88.11
EN300-19760,CN(C)CCN,88.15
EN300-2977540,C[C@@H](N)[C@@H](C)O,89.14
EN300-43041,CCOCCN,89.14
EN300-72272,CC(N)C(C)O,89.14
EN300-53656,CC(CN)CO,89.14
EN300-125884,CC[C@@H](N)CO,89.14
EN300-76843,CC(O)CCN,89.14
EN300-112321,C[C@@H](O)CCN,89.14
EN300-17954,COCCCN,89.14
EN300-19785,CC(C)(N)CO,89.14
EN300-134006,C[C@H](CN)CO,89.14
EN300-82225,CC(N)CCO,89.14
EN300-255572,CC[C@@H](O)CN,89.14
EN300-19709,CCC(N)CO,89.14
EN300-204364,CC[C@H](O)CN,89.14
EN300-68225,CC(C)(O)CN,89.14
EN300-157897,CC[C@H](N)CO,89.14
EN300-112322,C[C@H](O)CCN,89.14
EN300-148710,C[C@@H](N)CCO,89.14
EN300-108430,C[C@@H](CN)CO,89.14
EN300-94408,CCC(O)CN,89.14
EN300-101162,C[C@H](N)[C@H](C)O,89.14
EN300-148865,C[C@H](N)CCO,89.14
EN300-66126,NCCCCO,89.14
EN300-76059,NC1CSC1,89.16
EN300-92384,NC[C@@H](O)CO,91.11
EN300-50845,NCC(O)CO,91.11
EN300-84186,NC(CO)CO,91.11
EN300-393397,C#CCN.Cl,91.54
EN300-24464,Cl.N#CCN,92.53
EN300-658671,NC[C@H](F)CO,93.1
EN300-149340,NC(CO)CF,93.1
EN300-33390,Nc1ccccc1,93.13
EN300-21310,Nc1ccncc1,94.11
EN300-21243,Nc1cccnc1,94.11
EN300-19030,Nc1ccccn1,94.11
EN300-21912,Nc1ccncn1,95.1
EN300-72823,Nc1ccnnc1,95.1
EN300-139664,Nc1cncnc1,95.1
EN300-80851,Nc1cccnn1,95.1
EN300-17193,Nc1cnccn1,95.1
EN300-17309,Nc1ncccn1,95.1
EN300-55115,CCCN.Cl,95.57
EN300-20363,Nc1nccnn1,96.09
EN300-110325,Nc1cnncn1,96.09
EN300-342082,Nc1ncncn1,96.09
EN300-176886,NCc1cc[nH]c1,96.13
EN300-31050,N#CC1(N)CCC1,96.13
EN300-92925,NCc1ccc[nH]1,96.13
EN300-36073,Cn1cc(N)cn1,97.12
EN300-53867,NCc1ccoc1,97.12
EN300-101649,Cn1ccnc1N,97.12
EN300-17953,NCc1ccco1,97.12
EN300-59248,Cc1n[nH]cc1N,97.12
EN300-14223,Cn1ccc(N)n1,97.12
EN300-107829,Cc1cnc(N)[nH]1,97.12
EN300-39785,NCc1cc[nH]n1,97.12
EN300-55088,Cn1nccc1N,97.12
EN300-07518,Cc1cc(N)[nH]n1,97.12
EN300-78997,Cc1cn[nH]c1N,97.12
EN300-2962549,CC#CCC(C)N,97.16
EN300-322273,CC12CC1(CN)C2,97.16
EN300-7239939,CC#CCCCN,97.16
EN300-6498296,NCC1C2CCC12,97.16
EN300-148400,C#CCCCCN,97.16
EN300-311496,NCC1CC=CC1,97.16
EN300-367021,NC1CC12CCC2,97.16
EN300-139380,NCC1=CCCC1,97.16
EN300-2010292,C/C=C/C=C/CN,97.16
EN300-253359,NCC1CC12CC2,97.16
EN300-172824,C#CC(C)(N)CC,97.16
