ID,SMILES,MW
EN300-7474007,C[C@H]1CN1,57.09
EN300-697425,C[C@@H]1CN1,57.09
EN300-33324,CCNC,59.11
EN300-78930,C#CCNC,69.11
EN300-7568356,CC[C@@H]1CN1,71.12
EN300-18294,C1CCNC1,71.12
EN300-39986,CNC1CC1,71.12
EN300-73282,C=CCNC,71.12
EN300-105514,CC1(C)CN1,71.12
EN300-7568359,CC[C@H]1CN1,71.12
EN300-211422,C1COCN1,73.09
EN300-20275,CNC(C)C,73.14
EN300-40209,CCCNC,73.14
EN300-19342,CNCCO,75.11
EN300-43894,C1CC2NC2C1,83.13
EN300-182523,C#CC(C)NC,83.13
EN300-51713,CCNCC#N,84.12
EN300-17544,CNCCC#N,84.12
EN300-54666,CNC(C)C#N,84.12
EN300-180637,C1OCC2NC12,85.1
EN300-254529,C1OC[C@@H]2N[C@H]12,85.1
EN300-7571635,CC(C)[C@@H]1CN1,85.15
EN300-136449,CCC1CNC1,85.15
EN300-127489,C=C(C)CNC,85.15
EN300-171216,C=CCCNC,85.15
EN300-7571866,CC(C)[C@H]1CN1,85.15
EN300-2964377,CNC1CC1C,85.15
EN300-50950,CNCC1CC1,85.15
EN300-206735,C[C@H]1CCCN1,85.15
EN300-2513459,CN[C@@H]1C[C@H]1C,85.15
EN300-82836,CC1(C)CCN1,85.15
EN300-1266121,C[C@@H]1CNCO1,87.12
EN300-66270,OC1CCNC1,87.12
EN300-207466,C1CNCOC1,87.12
EN300-154332,OCC1CCN1,87.12
EN300-18064,C1COCCN1,87.12
EN300-316548,OC[C@@H]1CCN1,87.12
EN300-6964101,C[C@H]1CNCO1,87.12
EN300-35050,CNCC(C)C,87.16
EN300-121201,CNC(C)(C)C,87.16
EN300-18954,CCCCNC,87.16
EN300-40181,CCNC(C)C,87.16
EN300-35035,CCCNCC,87.16
EN300-7491971,C=C(F)CNC,89.11
EN300-55145,CNCC(C)O,89.14
EN300-209069,CNC[C@@H](C)O,89.14
EN300-210255,CNC[C@H](C)O,89.14
EN300-204419,CN[C@@H](C)CO,89.14
EN300-54939,CNCCOC,89.14
EN300-205110,CN[C@H](C)CO,89.14
EN300-20239,CCNCCO,89.14
EN300-141645,CNCCCO,89.14
EN300-117414,CNC(C)CO,89.14
EN300-43043,C1CSCN1,89.16
EN300-383801,CNCCCF,91.13
EN300-75356,C1CNC1.Cl,93.56
EN300-199311,C#CCNCC#N,94.11
EN300-58782,CNCC(F)F,95.09
EN300-21125,N#CCNCC#N,95.1
EN300-107763,C1=CC2CC1CN2,95.14
EN300-151667,C#CCNC1CC1,95.14
EN300-764736,C#CC1CCNC1,95.14
EN300-64637,CCNC.Cl,95.57
EN300-53615,N#CCNC1CC1,96.13
EN300-1245106,C=CCNCC#N,96.13
