ID,SMILES,MW
EN300-35716,CS(=O)(=O)F,98.1
EN300-6978475,NS(=O)(=O)F,99.08
EN300-07504,C=CS(=O)(=O)F,110.11
EN300-53132,CCS(=O)(=O)F,112.12
EN300-223447,CNS(=O)(=O)F,113.11
EN300-30440,NS(=O)(=O)Cl,115.54
EN300-140774,C#CCS(=O)(=O)F,122.12
EN300-224206,N#CCS(=O)(=O)F,123.11
EN300-6485975,C/C=C/S(=O)(=O)F,124.13
EN300-177277,C=C(C)S(=O)(=O)F,124.13
EN300-216223,O=S(=O)(F)C1CC1,124.13
EN300-211396,O=C=NS(=O)(=O)F,125.08
EN300-53133,CC(C)S(=O)(=O)F,126.15
EN300-53968,CCCS(=O)(=O)F,126.15
EN300-98200,C=CS(=O)(=O)Cl,126.56
EN300-75797,CN(C)S(=O)(=O)F,127.14
EN300-177462,O=S(=O)(F)CCO,128.12
EN300-20630,CCS(=O)(=O)Cl,128.58
EN300-112730,CNS(=O)(=O)Cl,129.57
EN300-138820,O=S(=O)(Cl)CF,132.54
EN300-726876,O=S(=O)(F)CCl,132.54
EN300-64016,O=S(=O)(F)C(F)F,134.08
EN300-1723962,C=C/C=C\S(=O)(=O)F,136.14
EN300-252459,O=S(=O)(F)C=C1CC1,136.14
EN300-728565,C#CCCS(=O)(=O)F,136.14
EN300-224145,O=S(=O)(F)CC1CC1,138.16
EN300-151791,C#CCS(=O)(=O)Cl,138.57
EN300-7181867,O=S(=O)(F)N1CCC1,139.15
EN300-50576,N#CCS(=O)(=O)Cl,139.56
EN300-1703434,CO/C=C/S(=O)(=O)F,140.13
EN300-27747320,O=S(=O)(F)C[C@@H]1CO1,140.13
EN300-817899,CC(=O)CS(=O)(=O)F,140.13
EN300-28265693,O=S(=O)(F)/C=C/CO,140.13
EN300-7537272,O=S(=O)(F)OC1CC1,140.13
EN300-53662,CCCCS(=O)(=O)F,140.18
EN300-64027,CC(C)CS(=O)(=O)F,140.18
EN300-66998,O=S(=O)(Cl)C1CC1,140.59
EN300-1688929,C/C=C/S(=O)(=O)Cl,140.59
EN300-103670,C=C(C)S(=O)(=O)Cl,140.59
EN300-67389,C=CCS(=O)(=O)Cl,140.59
EN300-251321,CC(C)NS(=O)(=O)F,141.16
EN300-6944774,CCN(C)S(=O)(=O)F,141.16
EN300-19010,O=C=NS(=O)(=O)Cl,141.53
EN300-195298,O=S(=O)(F)CCCO,142.15
EN300-64011,COCCS(=O)(=O)F,142.15
EN300-20712,CCCS(=O)(=O)Cl,142.6
EN300-49994,CC(C)S(=O)(=O)Cl,142.6
EN300-71869,CCNS(=O)(=O)Cl,143.59
EN300-31750,CN(C)S(=O)(=O)Cl,143.59
EN300-84685,O=S(=O)(F)CCCF,144.14
EN300-25069979,O=S(=O)(F)/C=C/Cl,144.55
EN300-93233,O=S(=O)(Cl)CCO,144.58
EN300-216212,O=S(=O)(F)CCCl,146.57
EN300-6974738,CC(F)S(=O)(=O)Cl,146.57
EN300-84158,O=S(=O)(Cl)CCF,146.57
EN300-26682591,O=S(=O)(F)C#CC1CC1,148.16
EN300-761367,C#CC1(S(=O)(=O)F)CC1,148.16
EN300-71999,O=S(=O)(Cl)CCl,149.0
EN300-252900,O=S(=O)(F)c1ccc[nH]1,149.14
EN300-219830,O=S(=O)(F)c1ncc[nH]1,150.13
EN300-256911,O=S(=O)(F)c1ccn[nH]1,150.13
EN300-224287,O=S(=O)(F)c1cn[nH]c1,150.13
EN300-7464862,O=S(=O)(F)C12CC(C1)C2,150.17
EN300-728578,C#CCCCS(=O)(=O)F,150.17
EN300-31728,O=S(=O)(Cl)C(F)F,150.53
EN300-170688,O=S(=O)(F)c1nnc[nH]1,151.12
EN300-6483420,CC(C#N)CS(=O)(=O)F,151.16
EN300-728581,CC1(CS(=O)(=O)F)CC1,152.19
EN300-1450727,CC1CC1CS(=O)(=O)F,152.19
EN300-64012,O=S(=O)(F)C1CCCC1,152.19
EN300-187513,CC#CCS(=O)(=O)Cl,152.6
EN300-188180,C#CCCS(=O)(=O)Cl,152.6
EN300-245560,C=CC=CS(=O)(=O)Cl,152.6
EN300-28319789,O=C=NCCS(=O)(=O)F,153.13
EN300-727933,[N-]=[N+]=NCCS(=O)(=O)F,153.14
EN300-224367,O=S(=O)(F)N1CCCC1,153.18
EN300-93135,CC(C#N)S(=O)(=O)Cl,153.59
EN300-205676,N#CCCS(=O)(=O)Cl,153.59
EN300-1582526,CC(=O)CCS(=O)(=O)F,154.16
EN300-1584039,O=S(=O)(F)CCC1CO1,154.16
EN300-379628,O=S(=O)(F)C1CCOC1,154.16
EN300-76120,CCC(C)CS(=O)(=O)F,154.2
EN300-224232,CCC(CC)S(=O)(=O)F,154.2
EN300-76109,O=S(=O)(Cl)CC1CC1,154.62
EN300-182096,O=S(=O)(Cl)C1CCC1,154.62
EN300-99119,CC=CCS(=O)(=O)Cl,154.62
EN300-3162940,C[C@@H]1C[C@H]1S(=O)(=O)Cl,154.62
EN300-152591,C=C(C)CS(=O)(=O)Cl,154.62
EN300-100820,CC1(S(=O)(=O)Cl)CC1,154.62
EN300-75072,C=CCCS(=O)(=O)Cl,154.62
EN300-7427262,O=S(=O)(F)N1CC(O)C1,155.15
EN300-7048744,CCN(CC)S(=O)(=O)F,155.19
EN300-207569,O=S(=O)(Cl)N1CCC1,155.6
EN300-134034,O=S(=O)(Cl)NC1CC1,155.6
EN300-7459694,O=C(O)CCS(=O)(=O)F,156.13
EN300-55203,COC(=O)CS(=O)(=O)F,156.13
EN300-98739,COCCCS(=O)(=O)F,156.18
EN300-64025,CCOCCS(=O)(=O)F,156.18
EN300-27115786,CC(C)(O)CS(=O)(=O)F,156.18
EN300-76495,O=S(=O)(Cl)C1COC1,156.59
EN300-61305,CC(C)CS(=O)(=O)Cl,156.63
EN300-59507,CC(C)(C)S(=O)(=O)Cl,156.63
EN300-101561,CCC(C)S(=O)(=O)Cl,156.63
EN300-21439,CCCCS(=O)(=O)Cl,156.63
